Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.47,0.47,0.00,0.00,0.63,2.73
Feb,0.34,0.34,0.00,0.00,1.54,2.74
Mar,0.28,0.28,0.00,0.00,4.08,4.03
Apr,0.02,0.02,0.00,0.00,7.18,4.21
May,0.01,0.01,0.00,0.00,7.24,4.01
Jun,0.00,0.00,0.00,0.00,2.54,2.47
Jul,0.00,0.00,0.00,0.00,1.87,1.89
Aug,0.01,0.01,0.00,0.00,1.94,1.94
Sep,0.02,0.02,0.00,0.00,2.37,2.70
Oct,0.06,0.06,0.00,0.00,2.53,2.99
Nov,0.14,0.14,0.00,0.00,1.99,3.12
Dec,0.24,0.24,0.00,0.00,0.79,3.18
Total,1.59,1.59,0.00,0.00,34.70,36.01
