Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.18,0.18,0.00,0.00,0.75,2.29
Feb,0.24,0.24,0.00,0.00,1.71,2.70
Mar,0.14,0.14,0.00,0.00,4.23,4.15
Apr,0.02,0.01,0.01,0.00,6.96,4.09
May,0.02,0.01,0.01,0.00,5.70,3.36
Jun,0.01,0.00,0.01,0.00,1.76,1.72
Jul,0.01,0.00,0.01,0.00,2.45,2.45
Aug,0.01,0.01,0.00,0.00,2.94,2.96
Sep,0.03,0.03,0.00,0.00,2.48,2.86
Oct,0.04,0.04,0.00,0.00,2.79,3.04
Nov,0.09,0.09,0.00,0.00,1.89,2.91
Dec,0.13,0.13,0.00,0.00,0.91,2.67
Total,0.92,0.88,0.04,0.00,34.57,35.20
