Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.24,0.08,0.16,0.00,0.58,2.29
Feb,0.42,0.14,0.28,0.00,1.35,2.70
Mar,0.55,0.04,0.50,0.00,3.31,4.15
Apr,0.55,0.00,0.55,0.00,6.67,4.09
May,0.43,0.00,0.43,0.00,5.34,3.36
Jun,0.31,0.00,0.31,0.00,1.80,1.72
Jul,0.23,0.00,0.23,0.00,2.44,2.45
Aug,0.17,0.00,0.17,0.00,2.95,2.96
Sep,0.13,0.01,0.12,0.00,2.45,2.86
Oct,0.09,0.00,0.09,0.00,2.69,3.04
Nov,0.10,0.03,0.07,0.00,1.74,2.91
Dec,0.11,0.05,0.06,0.00,0.80,2.67
Total,3.33,0.35,2.97,0.00,32.12,35.20
