Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","7,743.1",273.4,26.1
"Loading Rates (kg/ha)",31.50,1.11,0.11
"Mean Annual Concentration (mg/L)",192.39,6.79,0.65
"Mean Low-Flow Concentration (mg/L)",182.36,111.72,5.70
