Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","36,469.1","116,310.3","18,659.1"
"Loading Rates (kg/ha)",71.62,228.42,36.64
"Mean Annual Concentration (mg/L)",7.95,25.35,4.07
"Mean Low-Flow Concentration (mg/L)",5.79,26.77,4.32
