Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.42,0.42,0.00,0.00,0.51,2.73
Feb,0.29,0.29,0.00,0.00,1.24,2.74
Mar,0.24,0.24,0.00,0.00,3.29,4.03
Apr,0.01,0.01,0.00,0.00,6.83,4.21
May,0.01,0.01,0.00,0.00,8.88,4.01
Jun,0.00,0.00,0.00,0.00,3.12,2.47
Jul,0.00,0.00,0.00,0.00,1.87,1.89
Aug,0.01,0.01,0.00,0.00,1.94,1.94
Sep,0.02,0.02,0.00,0.00,2.34,2.70
Oct,0.05,0.05,0.00,0.00,2.42,2.99
Nov,0.11,0.11,0.00,0.00,1.80,3.12
Dec,0.21,0.21,0.00,0.00,0.67,3.18
Total,1.37,1.37,0.00,0.00,34.91,36.01
