Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","24,255.3",867.0,50.2
"Loading Rates (kg/ha)",57.65,2.06,0.12
"Mean Annual Concentration (mg/L)",165.25,5.91,0.34
"Mean Low-Flow Concentration (mg/L)",123.15,36.11,1.33
