Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)",104.2,0.5,0.2
"Loading Rates (kg/ha)",5.45,0.02,0.01
"Mean Annual Concentration (mg/L)",60.71,0.27,0.13
"Mean Low-Flow Concentration (mg/L)",14.59,0.19,0.03
