Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","2,730.6",27.9,8.7
"Loading Rates (kg/ha)",26.38,0.27,0.08
"Mean Annual Concentration (mg/L)",233.22,2.39,0.75
"Mean Low-Flow Concentration (mg/L)",755.54,4.86,2.05
