Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","19,973.5",661.2,105.1
"Loading Rates (kg/ha)",11.11,0.37,0.06
"Mean Annual Concentration (mg/L)",54.13,1.79,0.28
"Mean Low-Flow Concentration (mg/L)",137.13,3.93,0.86
