Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","132,296.0","2,971.0",209.0
"Loading Rates (kg/ha)",52.12,1.17,0.08
"Mean Annual Concentration (mg/L)",136.68,3.07,0.22
"Mean Low-Flow Concentration (mg/L)",210.17,4.75,0.54
