Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","1,709.3",42.0,8.3
"Loading Rates (kg/ha)",11.57,0.28,0.06
"Mean Annual Concentration (mg/L)",34.61,0.85,0.17
"Mean Low-Flow Concentration (mg/L)",53.94,1.84,0.43
