Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","12,638.5",367.1,56.7
"Loading Rates (kg/ha)",13.79,0.40,0.06
"Mean Annual Concentration (mg/L)",59.06,1.72,0.27
"Mean Low-Flow Concentration (mg/L)",145.53,3.68,0.79
