Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,2.10,0.16,1.94,0.00,0.32,2.73
Feb,2.03,0.10,1.93,0.00,0.53,2.74
Mar,2.43,0.09,2.35,0.00,1.10,4.03
Apr,2.41,0.00,2.41,0.00,1.62,4.21
May,2.47,0.00,2.47,0.00,2.08,4.01
Jun,2.12,0.00,2.12,0.00,1.63,2.47
Jul,1.77,0.00,1.77,0.00,1.36,1.89
Aug,1.44,0.00,1.44,0.00,1.40,1.94
Sep,1.30,0.01,1.29,0.00,1.21,2.70
Oct,1.47,0.02,1.45,0.00,0.83,2.99
Nov,1.62,0.04,1.58,0.00,0.71,3.12
Dec,1.89,0.07,1.82,0.00,0.36,3.18
Total,23.05,0.49,22.57,0.00,13.15,36.01
