Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)",934.3,23.0,5.7
"Loading Rates (kg/ha)",8.11,0.20,0.05
"Mean Annual Concentration (mg/L)",72.15,1.78,0.44
"Mean Low-Flow Concentration (mg/L)",191.20,4.46,1.25
