Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,493.9,3.2,1.0
Cropland,"7,127.0",41.9,11.6
"Wooded Areas",0.5,0.0,0.0
Wetlands,0.4,0.1,0.0
"Open Land",0.0,0.0,0.0
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",544.6,17.4,1.8
"Medium-Density Mixed","5,190.0",104.0,10.6
"High-Density Mixed","1,339.9",26.8,2.7
"Low-Density Open Space",171.8,5.5,0.6
"Farm Animals",0.0,83.0,19.2
"Stream Bank Erosion","9,559.0",9.0,3.0
"Subsurface Flow",0.0,24.2,0.3
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,557.4,0.0
