Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","229,085.8","4,524.8",875.8
"Loading Rates (kg/ha)",16.31,0.32,0.06
"Mean Annual Concentration (mg/L)",229.54,4.53,0.88
"Mean Low-Flow Concentration (mg/L)",597.27,10.94,2.60
