Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","241,203.2","6,051.7",782.9
"Loading Rates (kg/ha)",21.04,0.53,0.07
"Mean Annual Concentration (mg/L)",128.28,3.22,0.42
"Mean Low-Flow Concentration (mg/L)",282.66,5.97,1.14
