Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","542,967.7","10,047.0",862.7
"Loading Rates (kg/ha)",47.76,0.88,0.08
"Mean Annual Concentration (mg/L)",138.22,2.56,0.22
"Mean Low-Flow Concentration (mg/L)",220.57,3.81,0.51
