Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","356,485.0","8,763.8",889.1
"Loading Rates (kg/ha)",29.82,0.73,0.07
"Mean Annual Concentration (mg/L)",100.32,2.47,0.25
"Mean Low-Flow Concentration (mg/L)",226.25,4.06,0.68
