Month,Stream Flow (cm),Surface Runoff (cm),Subsurface Flow (cm),Point Src Flow (cm),ET (cm),Precip (cm),WS_Name
Apr,0.04,0.04,0,0,6.46,4.21,Lehi_Drain_2
May,0.03,0.03,0,0,7.15,4.01,Lehi_Drain_2
Jun,0,0,0,0,2.73,2.47,Lehi_Drain_2
Jul,0,0,0,0,1.87,1.89,Lehi_Drain_2
Aug,0.02,0.02,0,0,1.93,1.94,Lehi_Drain_2
Sep,0.04,0.04,0,0,2.31,2.7,Lehi_Drain_2
Oct,0.18,0.18,0,0,2.42,2.99,Lehi_Drain_2
Nov,0.3,0.3,0,0,1.84,3.12,Lehi_Drain_2
Dec,0.5,0.5,0,0,0.73,3.18,Lehi_Drain_2
Total,3.19,3.19,0,0,33.3,36.01,Lehi_Drain_2
Jan,0.43,0.43,0,0,0.65,2.73,Lehi_Drain_3
Feb,0.3,0.3,0,0,1.58,2.74,Lehi_Drain_3
Mar,0.25,0.25,0,0,4.18,4.03,Lehi_Drain_3
Apr,0.02,0.02,0,0,7.29,4.21,Lehi_Drain_3
May,0.01,0.01,0,0,7.05,4.01,Lehi_Drain_3
Jun,0,0,0,0,2.53,2.47,Lehi_Drain_3
Jul,0,0,0,0,1.87,1.89,Lehi_Drain_3
Aug,0.01,0.01,0,0,1.94,1.94,Lehi_Drain_3
Sep,0.03,0.03,0,0,2.38,2.7,Lehi_Drain_3
Oct,0.05,0.05,0,0,2.56,2.99,Lehi_Drain_3
Nov,0.12,0.12,0,0,2.03,3.12,Lehi_Drain_3
Dec,0.21,0.21,0,0,0.81,3.18,Lehi_Drain_3
Total,1.43,1.43,0,0,34.87,36.01,Lehi_Drain_3
Jan,0.51,0.51,0,0,0.82,2.73,Lehi_Drain_4
Feb,0.33,0.33,0,0,1.99,2.74,Lehi_Drain_4
Mar,0.27,0.27,0,0,5.08,4.03,Lehi_Drain_4
Apr,0.03,0.03,0,0,7.1,4.21,Lehi_Drain_4
May,0.01,0.01,0,0,5.12,4.01,Lehi_Drain_4
Jun,0,0,0,0,2.52,2.47,Lehi_Drain_4
Jul,0.01,0.01,0,0,1.87,1.89,Lehi_Drain_4
Aug,0.01,0.01,0,0,1.93,1.94,Lehi_Drain_4
Sep,0.05,0.05,0,0,2.38,2.7,Lehi_Drain_4
Oct,0.05,0.05,0,0,2.65,2.99,Lehi_Drain_4
Nov,0.13,0.13,0,0,2.2,3.12,Lehi_Drain_4
Dec,0.25,0.25,0,0,0.96,3.18,Lehi_Drain_4
Total,1.65,1.65,0,0,34.62,36.01,Lehi_Drain_4
Jan,0.47,0.47,0,0,0.63,2.73,Lehi_Drain_5
Feb,0.34,0.34,0,0,1.54,2.74,Lehi_Drain_5
Mar,0.28,0.28,0,0,4.08,4.03,Lehi_Drain_5
Apr,0.02,0.02,0,0,7.18,4.21,Lehi_Drain_5
May,0.01,0.01,0,0,7.24,4.01,Lehi_Drain_5
Jun,0,0,0,0,2.54,2.47,Lehi_Drain_5
Jul,0,0,0,0,1.87,1.89,Lehi_Drain_5
Aug,0.01,0.01,0,0,1.94,1.94,Lehi_Drain_5
Sep,0.02,0.02,0,0,2.37,2.7,Lehi_Drain_5
Oct,0.06,0.06,0,0,2.53,2.99,Lehi_Drain_5
Nov,0.14,0.14,0,0,1.99,3.12,Lehi_Drain_5
Dec,0.24,0.24,0,0,0.79,3.18,Lehi_Drain_5
Total,1.59,1.59,0,0,34.7,36.01,Lehi_Drain_5
Jan,0.54,0.54,0,0,0.58,2.73,Lehi_Drain_6
Feb,0.42,0.42,0,0,1.4,2.74,Lehi_Drain_6
Mar,0.34,0.34,0,0,3.71,4.03,Lehi_Drain_6
Apr,0.02,0.02,0,0,6.8,4.21,Lehi_Drain_6
May,0.02,0.02,0,0,7.92,4.01,Lehi_Drain_6
Jun,0,0,0,0,2.85,2.47,Lehi_Drain_6
Jul,0,0,0,0,1.87,1.89,Lehi_Drain_6
Aug,0.01,0.01,0,0,1.94,1.94,Lehi_Drain_6
Sep,0.03,0.03,0,0,2.33,2.7,Lehi_Drain_6
Oct,0.09,0.09,0,0,2.45,2.99,Lehi_Drain_6
Nov,0.18,0.18,0,0,1.85,3.12,Lehi_Drain_6
Dec,0.3,0.3,0,0,0.72,3.18,Lehi_Drain_6
Total,1.95,1.95,0,0,34.42,36.01,Lehi_Drain_6
Jan,1.69,1.26,0.43,0,0.6,2.73,Lindon_Marina
Feb,1.59,1.07,0.52,0,1.44,2.74,Lindon_Marina
Mar,1.53,0.89,0.64,0,3.59,4.03,Lindon_Marina
Apr,0.65,0.07,0.58,0,4.11,4.21,Lindon_Marina
May,0.59,0.05,0.54,0,4.14,4.01,Lindon_Marina
Jun,0.4,0,0.4,0,2.56,2.47,Lindon_Marina
Jul,0.31,0,0.31,0,1.83,1.89,Lindon_Marina
Aug,0.26,0.03,0.23,0,1.87,1.94,Lindon_Marina
Sep,0.26,0.06,0.2,0,2.2,2.7,Lindon_Marina
Oct,0.48,0.28,0.2,0,2.28,2.99,Lindon_Marina
Nov,0.65,0.48,0.17,0,1.81,3.12,Lindon_Marina
Dec,1.02,0.78,0.24,0,0.72,3.18,Lindon_Marina
Total,9.43,4.97,4.46,0,27.15,36.01,Lindon_Marina
Jan,0.69,0.69,0,0,0.75,2.73,Lindon_Wetlands
Feb,0.48,0.48,0,0,1.82,2.74,Lindon_Wetlands
Mar,0.4,0.4,0,0,4.72,4.03,Lindon_Wetlands
Apr,0.06,0.06,0,0,6.84,4.21,Lindon_Wetlands
May,0.03,0.03,0,0,5.44,4.01,Lindon_Wetlands
Jun,0.01,0.01,0,0,2.52,2.47,Lindon_Wetlands
Jul,0.02,0.02,0,0,1.85,1.89,Lindon_Wetlands
Aug,0.02,0.02,0,0,1.92,1.94,Lindon_Wetlands
Sep,0.08,0.08,0,0,2.35,2.7,Lindon_Wetlands
Oct,0.1,0.1,0,0,2.57,2.99,Lindon_Wetlands
Nov,0.2,0.2,0,0,2.14,3.12,Lindon_Wetlands
Dec,0.36,0.36,0,0,0.89,3.18,Lindon_Wetlands
Total,2.45,2.45,0,0,33.81,36.01,Lindon_Wetlands
Jan,0.41,0.4,0.01,0,0.54,2.73,Pelican_Point
Feb,0.26,0.26,0,0,1.32,2.74,Pelican_Point
Mar,0.24,0.21,0.03,0,3.5,4.03,Pelican_Point
Apr,0.1,0.02,0.08,0,6.88,4.21,Pelican_Point
May,0.08,0.01,0.07,0,8.46,4.01,Pelican_Point
Jun,0.05,0,0.05,0,2.82,2.47,Pelican_Point
Jul,0.05,0.01,0.04,0,1.87,1.89,Pelican_Point
Aug,0.03,0.01,0.03,0,1.94,1.94,Pelican_Point
Sep,0.05,0.03,0.02,0,2.33,2.7,Pelican_Point
Oct,0.06,0.04,0.02,0,2.44,2.99,Pelican_Point
Nov,0.11,0.1,0.01,0,1.85,3.12,Pelican_Point
Dec,0.2,0.19,0.01,0,0.69,3.18,Pelican_Point
Total,1.64,1.28,0.37,0,34.64,36.01,Pelican_Point
Jan,0.43,0.43,0,0,0.74,2.73,Powell_Slough_Minor
Feb,0.28,0.28,0,0,1.8,2.74,Powell_Slough_Minor
Mar,0.23,0.23,0,0,4.72,4.03,Powell_Slough_Minor
Apr,0.02,0.02,0,0,7.37,4.21,Powell_Slough_Minor
May,0.01,0.01,0,0,5.88,4.01,Powell_Slough_Minor
Jun,0,0,0,0,2.53,2.47,Powell_Slough_Minor
Jul,0.01,0.01,0,0,1.87,1.89,Powell_Slough_Minor
Aug,0.01,0.01,0,0,1.94,1.94,Powell_Slough_Minor
Sep,0.04,0.04,0,0,2.38,2.7,Powell_Slough_Minor
Oct,0.04,0.04,0,0,2.62,2.99,Powell_Slough_Minor
Nov,0.11,0.11,0,0,2.17,3.12,Powell_Slough_Minor
Dec,0.21,0.21,0,0,0.89,3.18,Powell_Slough_Minor
Total,1.39,1.39,0,0,34.91,36.01,Powell_Slough_Minor
Jan,0.67,0.67,0,0,0.55,2.73,Provo_Airport
Feb,0.54,0.54,0,0,1.34,2.74,Provo_Airport
Mar,0.44,0.44,0,0,3.57,4.03,Provo_Airport
Apr,0.04,0.03,0.01,0,6.53,4.21,Provo_Airport
May,0.04,0.02,0.01,0,7.88,4.01,Provo_Airport
Jun,0.01,0,0.01,0,2.95,2.47,Provo_Airport
Jul,0.01,0,0.01,0,1.87,1.89,Provo_Airport
Aug,0.02,0.01,0.01,0,1.93,1.94,Provo_Airport
Sep,0.04,0.03,0,0,2.31,2.7,Provo_Airport
Oct,0.13,0.13,0,0,2.4,2.99,Provo_Airport
Nov,0.23,0.23,0,0,1.82,3.12,Provo_Airport
Dec,0.39,0.39,0,0,0.69,3.18,Provo_Airport
Total,2.56,2.49,0.05,0,33.84,36.01,Provo_Airport
Jan,0.15,0.14,0.01,0,0.83,2.29,Provo_Bay_1
Feb,0.24,0.2,0.04,0,1.9,2.7,Provo_Bay_1
Mar,0.17,0.09,0.08,0,4.67,4.15,Provo_Bay_1
Apr,0.1,0.01,0.08,0,6.91,4.09,Provo_Bay_1
May,0.07,0.01,0.06,0,4.65,3.36,Provo_Bay_1
Jun,0.05,0,0.04,0,1.75,1.72,Provo_Bay_1
Jul,0.04,0.01,0.03,0,2.44,2.45,Provo_Bay_1
Aug,0.04,0.02,0.02,0,2.93,2.96,Provo_Bay_1
Sep,0.06,0.04,0.02,0,2.48,2.86,Provo_Bay_1
Oct,0.04,0.02,0.01,0,2.84,3.04,Provo_Bay_1
Nov,0.08,0.07,0.01,0,1.96,2.91,Provo_Bay_1
Dec,0.1,0.1,0.01,0,0.99,2.67,Provo_Bay_1
Total,1.14,0.71,0.41,0,34.35,35.2,Provo_Bay_1
Jan,0.18,0.18,0,0,0.75,2.29,Provo_Bay_2
Feb,0.24,0.24,0,0,1.71,2.7,Provo_Bay_2
Mar,0.14,0.14,0,0,4.23,4.15,Provo_Bay_2
Apr,0.02,0.01,0.01,0,6.96,4.09,Provo_Bay_2
May,0.02,0.01,0.01,0,5.7,3.36,Provo_Bay_2
Jun,0.01,0,0.01,0,1.76,1.72,Provo_Bay_2
Jul,0.01,0,0.01,0,2.45,2.45,Provo_Bay_2
Aug,0.01,0.01,0,0,2.94,2.96,Provo_Bay_2
Sep,0.03,0.03,0,0,2.48,2.86,Provo_Bay_2
Oct,0.04,0.04,0,0,2.79,3.04,Provo_Bay_2
Nov,0.09,0.09,0,0,1.89,2.91,Provo_Bay_2
Dec,0.13,0.13,0,0,0.91,2.67,Provo_Bay_2
Total,0.92,0.88,0.04,0,34.57,35.2,Provo_Bay_2
Jan,0.22,0.22,0,0,0.62,2.29,Provo_Bay_3
Feb,0.29,0.29,0,0,1.42,2.7,Provo_Bay_3
Mar,0.18,0.17,0.02,0,3.49,4.15,Provo_Bay_3
Apr,0.06,0.01,0.05,0,6.88,4.09,Provo_Bay_3
May,0.05,0.01,0.04,0,6.9,3.36,Provo_Bay_3
Jun,0.03,0,0.03,0,1.81,1.72,Provo_Bay_3
Jul,0.02,0,0.02,0,2.45,2.45,Provo_Bay_3
Aug,0.02,0.01,0.01,0,2.94,2.96,Provo_Bay_3
Sep,0.04,0.03,0.01,0,2.46,2.86,Provo_Bay_3
Oct,0.06,0.05,0.01,0,2.7,3.04,Provo_Bay_3
Nov,0.11,0.11,0.01,0,1.77,2.91,Provo_Bay_3
Dec,0.16,0.16,0,0,0.81,2.67,Provo_Bay_3
Total,1.24,1.06,0.2,0,34.25,35.2,Provo_Bay_3
Jan,0.21,0.19,0.01,0,0.7,2.29,Provo_Bay_4
Feb,0.3,0.26,0.03,0,1.6,2.7,Provo_Bay_4
Mar,0.23,0.15,0.08,0,3.95,4.15,Provo_Bay_4
Apr,0.12,0.01,0.11,0,7.01,4.09,Provo_Bay_4
May,0.09,0.01,0.08,0,5.64,3.36,Provo_Bay_4
Jun,0.06,0,0.06,0,1.76,1.72,Provo_Bay_4
Jul,0.05,0,0.05,0,2.45,2.45,Provo_Bay_4
Aug,0.04,0.01,0.03,0,2.94,2.96,Provo_Bay_4
Sep,0.05,0.03,0.02,0,2.48,2.86,Provo_Bay_4
Oct,0.06,0.04,0.02,0,2.77,3.04,Provo_Bay_4
Nov,0.11,0.1,0.01,0,1.85,2.91,Provo_Bay_4
Dec,0.15,0.14,0.01,0,0.88,2.67,Provo_Bay_4
Total,1.47,0.94,0.51,0,34.03,35.2,Provo_Bay_4
Jan,0.28,0.28,0,0,0.72,2.29,Provo_Bay_5
Feb,0.36,0.36,0,0,1.65,2.7,Provo_Bay_5
Mar,0.23,0.23,0,0,4.09,4.15,Provo_Bay_5
Apr,0.02,0.02,0.01,0,6.71,4.09,Provo_Bay_5
May,0.02,0.02,0.01,0,5.89,3.36,Provo_Bay_5
Jun,0,0,0,0,1.77,1.72,Provo_Bay_5
Jul,0,0,0,0,2.45,2.45,Provo_Bay_5
Aug,0.02,0.02,0,0,2.93,2.96,Provo_Bay_5
Sep,0.04,0.04,0,0,2.45,2.86,Provo_Bay_5
Oct,0.07,0.07,0,0,2.74,3.04,Provo_Bay_5
Nov,0.15,0.15,0,0,1.85,2.91,Provo_Bay_5
Dec,0.21,0.21,0,0,0.88,2.67,Provo_Bay_5
Total,1.4,1.4,0.02,0,34.13,35.2,Provo_Bay_5
Jan,8.34,1.09,0.04,7.21,0.56,2.73,Provo_Bay_7
Feb,7.51,0.92,0.08,6.51,1.36,2.74,Provo_Bay_7
Mar,8.1,0.76,0.13,7.21,3.61,4.03,Provo_Bay_7
Apr,7.21,0.06,0.17,6.97,6.03,4.21,Provo_Bay_7
May,7.41,0.04,0.16,7.21,6.28,4.01,Provo_Bay_7
Jun,7.09,0,0.12,6.97,2.62,2.47,Provo_Bay_7
Jul,7.3,0,0.09,7.21,1.87,1.89,Provo_Bay_7
Aug,7.29,0.02,0.07,7.21,1.91,1.94,Provo_Bay_7
Sep,7.07,0.05,0.05,6.97,2.27,2.7,Provo_Bay_7
Oct,7.49,0.24,0.04,7.21,2.35,2.99,Provo_Bay_7
Nov,7.41,0.41,0.03,6.97,1.78,3.12,Provo_Bay_7
Dec,7.9,0.67,0.02,7.21,0.68,3.18,Provo_Bay_7
Total,90.12,4.26,1,84.86,31.32,36.01,Provo_Bay_7
Jan,0.54,0.54,0,0,0.55,2.73,Provo_Bay_8
Feb,0.4,0.4,0,0,1.35,2.74,Provo_Bay_8
Mar,0.33,0.33,0,0,3.57,4.03,Provo_Bay_8
Apr,0.03,0.03,0,0,6.64,4.21,Provo_Bay_8
May,0.02,0.02,0,0,8.18,4.01,Provo_Bay_8
Jun,0,0,0,0,3.06,2.47,Provo_Bay_8
Jul,0.01,0.01,0,0,1.87,1.89,Provo_Bay_8
Aug,0.01,0.01,0,0,1.93,1.94,Provo_Bay_8
Sep,0.04,0.03,0,0,2.31,2.7,Provo_Bay_8
Oct,0.08,0.08,0,0,2.41,2.99,Provo_Bay_8
Nov,0.17,0.16,0,0,1.83,3.12,Provo_Bay_8
Dec,0.29,0.29,0,0,0.69,3.18,Provo_Bay_8
Total,1.92,1.9,0,0,34.39,36.01,Provo_Bay_8
Jan,0.45,0.45,0,0,0.65,2.73,Provo_River_Delta_Project
Feb,0.32,0.31,0.01,0,1.58,2.74,Provo_River_Delta_Project
Mar,0.29,0.26,0.03,0,4.19,4.03,Provo_River_Delta_Project
Apr,0.06,0.02,0.04,0,7.2,4.21,Provo_River_Delta_Project
May,0.04,0.01,0.03,0,6.88,4.01,Provo_River_Delta_Project
Jun,0.02,0,0.02,0,2.54,2.47,Provo_River_Delta_Project
Jul,0.02,0.01,0.02,0,1.87,1.89,Provo_River_Delta_Project
Aug,0.02,0.01,0.01,0,1.94,1.94,Provo_River_Delta_Project
Sep,0.04,0.03,0.01,0,2.37,2.7,Provo_River_Delta_Project
Oct,0.06,0.06,0.01,0,2.55,2.99,Provo_River_Delta_Project
Nov,0.13,0.13,0,0,2.05,3.12,Provo_River_Delta_Project
Dec,0.23,0.22,0,0,0.8,3.18,Provo_River_Delta_Project
Total,1.68,1.51,0.18,0,34.62,36.01,Provo_River_Delta_Project
Jan,0.56,0.56,0,0,0.58,2.73,Skipper_Bay_1
Feb,0.44,0.44,0,0,1.4,2.74,Skipper_Bay_1
Mar,0.36,0.36,0,0,3.71,4.03,Skipper_Bay_1
Apr,0.02,0.02,0,0,6.81,4.21,Skipper_Bay_1
May,0.02,0.02,0,0,7.78,4.01,Skipper_Bay_1
Jun,0,0,0,0,2.81,2.47,Skipper_Bay_1
Jul,0,0,0,0,1.87,1.89,Skipper_Bay_1
Aug,0.01,0.01,0,0,1.94,1.94,Skipper_Bay_1
Sep,0.03,0.03,0,0,2.34,2.7,Skipper_Bay_1
Oct,0.1,0.1,0,0,2.46,2.99,Skipper_Bay_1
Nov,0.19,0.19,0,0,1.89,3.12,Skipper_Bay_1
Dec,0.31,0.31,0,0,0.72,3.18,Skipper_Bay_1
Total,2.04,2.04,0,0,34.31,36.01,Skipper_Bay_1
Jan,0.9,0.9,0,0,0.56,2.73,Skipper_Bay_2
Feb,0.74,0.74,0,0,1.36,2.74,Skipper_Bay_2
Mar,0.61,0.61,0,0,3.6,4.03,Skipper_Bay_2
Apr,0.05,0.05,0,0,6.34,4.21,Skipper_Bay_2
May,0.03,0.03,0,0,7.33,4.01,Skipper_Bay_2
Jun,0,0,0,0,2.86,2.47,Skipper_Bay_2
Jul,0,0,0,0,1.87,1.89,Skipper_Bay_2
Aug,0.02,0.02,0,0,1.92,1.94,Skipper_Bay_2
Sep,0.04,0.04,0,0,2.3,2.7,Skipper_Bay_2
Oct,0.19,0.19,0,0,2.39,2.99,Skipper_Bay_2
Nov,0.33,0.33,0,0,1.81,3.12,Skipper_Bay_2
Dec,0.54,0.54,0,0,0.69,3.18,Skipper_Bay_2
Total,3.45,3.45,0,0,33.03,36.01,Skipper_Bay_2
Jan,0.19,0.19,0,0,1.04,2.29,Spanish_Fork___1
Feb,0.26,0.26,0,0,2.36,2.7,Spanish_Fork___1
Mar,0.11,0.11,0,0,5.35,4.15,Spanish_Fork___1
Apr,0.01,0.01,0,0,6.26,4.09,Spanish_Fork___1
May,0.01,0.01,0,0,3.8,3.36,Spanish_Fork___1
Jun,0,0,0,0,1.74,1.72,Spanish_Fork___1
Jul,0.01,0.01,0,0,2.44,2.45,Spanish_Fork___1
Aug,0.02,0.02,0,0,2.93,2.96,Spanish_Fork___1
Sep,0.05,0.05,0,0,2.52,2.86,Spanish_Fork___1
Oct,0.02,0.02,0,0,2.88,3.04,Spanish_Fork___1
Nov,0.09,0.09,0,0,2.1,2.91,Spanish_Fork___1
Dec,0.13,0.13,0,0,1.15,2.67,Spanish_Fork___1
Total,0.9,0.9,0,0,34.57,35.2,Spanish_Fork___1
Jan,0.19,0.19,0,0,1.04,2.29,Spranish_Fork_2
Feb,0.26,0.26,0,0,2.36,2.7,Spranish_Fork_2
Mar,0.11,0.11,0,0,5.35,4.15,Spranish_Fork_2
Apr,0.01,0.01,0,0,6.26,4.09,Spranish_Fork_2
May,0.01,0.01,0,0,3.8,3.36,Spranish_Fork_2
Jun,0,0,0,0,1.74,1.72,Spranish_Fork_2
Jul,0.01,0.01,0,0,2.44,2.45,Spranish_Fork_2
Aug,0.02,0.02,0,0,2.93,2.96,Spranish_Fork_2
Sep,0.05,0.05,0,0,2.52,2.86,Spranish_Fork_2
Oct,0.02,0.02,0,0,2.88,3.04,Spranish_Fork_2
Nov,0.09,0.09,0,0,2.1,2.91,Spranish_Fork_2
Dec,0.13,0.13,0,0,1.15,2.67,Spranish_Fork_2
Total,0.9,0.9,0,0,34.57,35.2,Spranish_Fork_2
Jan,0.35,0.35,0,0,0.7,2.73,Vineyard_Drain_1
Feb,0.23,0.23,0,0,1.69,2.74,Vineyard_Drain_1
Mar,0.19,0.19,0,0,4.5,4.03,Vineyard_Drain_1
Apr,0.02,0.01,0.01,0,7.3,4.21,Vineyard_Drain_1
May,0.01,0.01,0,0,6.71,4.01,Vineyard_Drain_1
Jun,0,0,0,0,2.54,2.47,Vineyard_Drain_1
Jul,0.01,0,0,0,1.87,1.89,Vineyard_Drain_1
Aug,0.01,0,0,0,1.94,1.94,Vineyard_Drain_1
Sep,0.02,0.02,0,0,2.37,2.7,Vineyard_Drain_1
Oct,0.04,0.04,0,0,2.58,2.99,Vineyard_Drain_1
Nov,0.09,0.09,0,0,2.11,3.12,Vineyard_Drain_1
Dec,0.17,0.17,0,0,0.85,3.18,Vineyard_Drain_1
Total,1.14,1.11,0.01,0,35.16,36.01,Vineyard_Drain_1
Jan,0.85,0.85,0,0,0.53,2.73,Vineyard_Drain_2
Feb,0.71,0.7,0,0,1.28,2.74,Vineyard_Drain_2
Mar,0.59,0.58,0.02,0,3.4,4.03,Vineyard_Drain_2
Apr,0.09,0.04,0.04,0,6.26,4.21,Vineyard_Drain_2
May,0.08,0.03,0.05,0,7.74,4.01,Vineyard_Drain_2
Jun,0.03,0,0.03,0,2.96,2.47,Vineyard_Drain_2
Jul,0.03,0,0.03,0,1.87,1.89,Vineyard_Drain_2
Aug,0.03,0.02,0.02,0,1.92,1.94,Vineyard_Drain_2
Sep,0.05,0.04,0.01,0,2.29,2.7,Vineyard_Drain_2
Oct,0.19,0.18,0.01,0,2.35,2.99,Vineyard_Drain_2
Nov,0.32,0.31,0.01,0,1.75,3.12,Vineyard_Drain_2
Dec,0.52,0.51,0.01,0,0.66,3.18,Vineyard_Drain_2
Total,3.49,3.26,0.23,0,33.01,36.01,Vineyard_Drain_2
Jan,0.99,0.98,0.01,0,0.5,2.73,Vineyard_Drain_3
Feb,0.84,0.81,0.03,0,1.21,2.74,Vineyard_Drain_3
Mar,0.73,0.67,0.06,0,3.21,4.03,Vineyard_Drain_3
Apr,0.16,0.05,0.11,0,6.13,4.21,Vineyard_Drain_3
May,0.16,0.04,0.12,0,7.51,4.01,Vineyard_Drain_3
Jun,0.09,0,0.09,0,2.8,2.47,Vineyard_Drain_3
Jul,0.07,0,0.07,0,1.87,1.89,Vineyard_Drain_3
Aug,0.07,0.02,0.05,0,1.92,1.94,Vineyard_Drain_3
Sep,0.08,0.05,0.04,0,2.29,2.7,Vineyard_Drain_3
Oct,0.23,0.21,0.03,0,2.32,2.99,Vineyard_Drain_3
Nov,0.38,0.36,0.02,0,1.69,3.12,Vineyard_Drain_3
Dec,0.61,0.59,0.01,0,0.63,3.18,Vineyard_Drain_3
Total,4.41,3.78,0.64,0,32.08,36.01,Vineyard_Drain_3
Jan,0.39,0.37,0.01,0,0.44,2.73,Vineyard_Drain_4
Feb,0.27,0.25,0.01,0,1.08,2.74,Vineyard_Drain_4
Mar,0.29,0.21,0.09,0,2.87,4.03,Vineyard_Drain_4
Apr,0.18,0.01,0.17,0,6.6,4.21,Vineyard_Drain_4
May,0.17,0.01,0.17,0,9.33,4.01,Vineyard_Drain_4
Jun,0.12,0,0.12,0,3.08,2.47,Vineyard_Drain_4
Jul,0.1,0,0.09,0,1.87,1.89,Vineyard_Drain_4
Aug,0.07,0.01,0.07,0,1.94,1.94,Vineyard_Drain_4
Sep,0.07,0.02,0.05,0,2.34,2.7,Vineyard_Drain_4
Oct,0.08,0.04,0.04,0,2.37,2.99,Vineyard_Drain_4
Nov,0.13,0.1,0.03,0,1.68,3.12,Vineyard_Drain_4
Dec,0.2,0.18,0.02,0,0.6,3.18,Vineyard_Drain_4
Total,2.07,1.2,0.87,0,34.2,36.01,Vineyard_Drain_4
Jan,1.12,1.06,0.06,0,0.51,2.73,Vineyard_Drain_5
Feb,0.98,0.88,0.1,0,1.24,2.74,Vineyard_Drain_5
Mar,0.93,0.73,0.2,0,3.29,4.03,Vineyard_Drain_5
