Month,Stream Flow (cm),Surface Runoff (cm),Subsurface Flow (cm),Point Src Flow (cm),ET (cm),Precip (cm),WS_Name
Mar,0.5,0.01,0.49,0,3.34,4.15,West_Mountain_4
Apr,0.53,0,0.53,0,6.71,4.09,West_Mountain_4
May,0.42,0,0.41,0,5.57,3.36,West_Mountain_4
Jun,0.3,0,0.3,0,1.8,1.72,West_Mountain_4
Jul,0.22,0,0.22,0,2.44,2.45,West_Mountain_4
Aug,0.16,0,0.16,0,2.95,2.96,West_Mountain_4
Sep,0.12,0,0.12,0,2.45,2.86,West_Mountain_4
Oct,0.09,0,0.09,0,2.7,3.04,West_Mountain_4
Nov,0.07,0.01,0.06,0,1.75,2.91,West_Mountain_4
Dec,0.08,0.02,0.06,0,0.81,2.67,West_Mountain_4
Total,3,0.12,2.86,0,32.48,35.2,West_Mountain_4
Jan,0.6,0.13,0.47,0,0.66,2.29,West_Mountain_5
Feb,0.83,0.19,0.65,0,1.53,2.7,West_Mountain_5
Mar,0.95,0.08,0.87,0,3.66,4.15,West_Mountain_5
Apr,0.8,0.01,0.79,0,5.19,4.09,West_Mountain_5
May,0.63,0.01,0.62,0,3.73,3.36,West_Mountain_5
Jun,0.45,0,0.44,0,1.77,1.72,West_Mountain_5
Jul,0.34,0,0.34,0,2.44,2.45,West_Mountain_5
Aug,0.26,0.01,0.25,0,2.93,2.96,West_Mountain_5
Sep,0.22,0.04,0.18,0,2.44,2.86,West_Mountain_5
Oct,0.19,0.02,0.17,0,2.65,3.04,West_Mountain_5
Nov,0.2,0.06,0.15,0,1.82,2.91,West_Mountain_5
Dec,0.31,0.09,0.22,0,0.87,2.67,West_Mountain_5
Total,5.78,0.64,5.15,0,29.69,35.2,West_Mountain_5
Jan,0.11,0.02,0.09,0,0.69,2.29,West_Mountain_6
Feb,0.22,0.04,0.18,0,1.6,2.7,West_Mountain_6
Mar,0.33,0.01,0.32,0,3.94,4.15,West_Mountain_6
Apr,0.33,0,0.33,0,7.21,4.09,West_Mountain_6
May,0.25,0,0.25,0,4.97,3.36,West_Mountain_6
Jun,0.18,0,0.18,0,1.76,1.72,West_Mountain_6
Jul,0.14,0,0.14,0,2.45,2.45,West_Mountain_6
Aug,0.1,0,0.1,0,2.94,2.96,West_Mountain_6
Sep,0.07,0,0.07,0,2.48,2.86,West_Mountain_6
Oct,0.06,0,0.05,0,2.79,3.04,West_Mountain_6
Nov,0.05,0.01,0.04,0,1.87,2.91,West_Mountain_6
Dec,0.05,0.01,0.03,0,0.89,2.67,West_Mountain_6
Total,1.89,0.09,1.78,0,33.59,35.2,West_Mountain_6
Jan,0.14,0.06,0.08,0,0.66,2.29,West_Mountain_7
Feb,0.29,0.11,0.17,0,1.53,2.7,West_Mountain_7
Mar,0.34,0.03,0.31,0,3.77,4.15,West_Mountain_7
Apr,0.32,0,0.32,0,7.11,4.09,West_Mountain_7
May,0.25,0,0.25,0,5.28,3.36,West_Mountain_7
Jun,0.18,0,0.18,0,1.76,1.72,West_Mountain_7
Jul,0.14,0,0.14,0,2.45,2.45,West_Mountain_7
Aug,0.1,0,0.1,0,2.94,2.96,West_Mountain_7
Sep,0.08,0.01,0.07,0,2.47,2.86,West_Mountain_7
Oct,0.06,0,0.05,0,2.76,3.04,West_Mountain_7
Nov,0.06,0.02,0.04,0,1.83,2.91,West_Mountain_7
Dec,0.07,0.04,0.03,0,0.86,2.67,West_Mountain_7
Total,2.03,0.27,1.74,0,33.42,35.2,West_Mountain_7
Jan,0.24,0.08,0.16,0,0.58,2.29,West_Mountain_8
Feb,0.42,0.14,0.28,0,1.35,2.7,West_Mountain_8
Mar,0.55,0.04,0.5,0,3.31,4.15,West_Mountain_8
Apr,0.55,0,0.55,0,6.67,4.09,West_Mountain_8
May,0.43,0,0.43,0,5.34,3.36,West_Mountain_8
Jun,0.31,0,0.31,0,1.8,1.72,West_Mountain_8
Jul,0.23,0,0.23,0,2.44,2.45,West_Mountain_8
Aug,0.17,0,0.17,0,2.95,2.96,West_Mountain_8
Sep,0.13,0.01,0.12,0,2.45,2.86,West_Mountain_8
Oct,0.09,0,0.09,0,2.69,3.04,West_Mountain_8
Nov,0.1,0.03,0.07,0,1.74,2.91,West_Mountain_8
Dec,0.11,0.05,0.06,0,0.8,2.67,West_Mountain_8
Total,3.33,0.35,2.97,0,32.12,35.2,West_Mountain_8
Jan,0.08,0.08,0,0,0.63,2.29,West_Mountain_9
Feb,0.14,0.13,0,0,1.46,2.7,West_Mountain_9
Mar,0.05,0.04,0.01,0,3.57,4.15,West_Mountain_9
Apr,0.03,0,0.03,0,7.02,4.09,West_Mountain_9
May,0.03,0,0.02,0,7.23,3.36,West_Mountain_9
Jun,0.02,0,0.02,0,1.85,1.72,West_Mountain_9
Jul,0.01,0,0.01,0,2.45,2.45,West_Mountain_9
Aug,0.01,0,0.01,0,2.94,2.96,West_Mountain_9
Sep,0.02,0.01,0.01,0,2.46,2.86,West_Mountain_9
Oct,0.01,0,0.01,0,2.73,3.04,West_Mountain_9
Nov,0.04,0.03,0,0,1.79,2.91,West_Mountain_9
Dec,0.05,0.05,0,0,0.84,2.67,West_Mountain_9
Total,0.49,0.34,0.12,0,34.97,35.2,West_Mountain_9
Jan,0.04,0.04,0,0,0.62,2.29,West_Mountain_10
Feb,0.08,0.08,0,0,1.44,2.7,West_Mountain_10
Mar,0.02,0.02,0,0,3.53,4.15,West_Mountain_10
Apr,0.01,0,0.01,0,7,4.09,West_Mountain_10
May,0.01,0,0.01,0,7.51,3.36,West_Mountain_10
Jun,0.01,0,0.01,0,1.92,1.72,West_Mountain_10
Jul,0,0,0,0,2.45,2.45,West_Mountain_10
Aug,0,0,0,0,2.94,2.96,West_Mountain_10
Sep,0.01,0.01,0,0,2.46,2.86,West_Mountain_10
Oct,0,0,0,0,2.73,3.04,West_Mountain_10
Nov,0.02,0.02,0,0,1.79,2.91,West_Mountain_10
Dec,0.03,0.03,0,0,0.84,2.67,West_Mountain_10
Total,0.23,0.2,0.03,0,35.23,35.2,West_Mountain_10
