SystemName,UTAH LAKE/JORDAN RIVER
StationName,05 JORDAN NARROWS (TOTAL)
DateStart,2010
DateEnd,2019
Date,Flow
9/8/2010,529.162
9/9/2010,528.783
9/10/2010,526.728
9/11/2010,526.294
9/12/2010,524.312
9/13/2010,529.709
9/14/2010,532.061
9/15/2010,537.94
9/16/2010,506.791
9/17/2010,495.808
9/18/2010,488.8
9/19/2010,486.057
9/20/2010,481.184
9/21/2010,480.658
9/22/2010,502.356
9/23/2010,532.453
9/24/2010,536.185
9/25/2010,540.196
9/26/2010,552.082
9/27/2010,552.149
9/28/2010,527.646
9/29/2010,510.213
9/30/2010,504.373
10/1/2010,445.382
10/2/2010,456.807
10/3/2010,449.683
10/4/2010,440.826
10/5/2010,439.333
10/6/2010,435.041
10/7/2010,433.91
10/8/2010,432.761
10/9/2010,431.395
10/10/2010,431.076
10/11/2010,411.795
10/12/2010,378.869
10/13/2010,336.857
10/14/2010,328.83
10/15/2010,263.377
10/16/2010,189.386
10/17/2010,165.939
10/18/2010,166.126
10/19/2010,164.57
10/20/2010,164.57
10/21/2010,164.57
10/22/2010,223.024
10/23/2010,21.6
10/24/2010,27.223
10/25/2010,32.873
10/26/2010,38.73
10/27/2010,36.22
10/28/2010,37.094
10/29/2010,35.37
10/30/2010,34.951
10/31/2010,32.426
11/1/2010,9.068
11/2/2010,28.254
11/3/2010,96.433
11/4/2010,112.1
11/5/2010,68.109
11/6/2010,48.617
11/7/2010,39.193
11/8/2010,36.848
11/9/2010,40.662
11/10/2010,40.811
11/11/2010,41.431
11/12/2010,39.893
11/13/2010,37.11
11/14/2010,36.324
11/15/2010,38.367
11/16/2010,38.792
11/17/2010,39.17
11/18/2010,37.06
11/19/2010,36.45
11/20/2010,35.905
11/21/2010,39.56
11/22/2010,41.277
11/23/2010,39.318
11/24/2010,37.252
11/25/2010,26.164
11/26/2010,17.826
11/27/2010,14.882
11/28/2010,14.355
11/29/2010,14.566
11/30/2010,14.518
12/1/2010,14.756
12/2/2010,15.741
12/3/2010,14.324
12/4/2010,20.219
12/5/2010,28.897
12/6/2010,32.747
12/7/2010,33.011
12/8/2010,32.578
12/9/2010,32.304
12/10/2010,33.174
12/11/2010,34.555
12/12/2010,32.443
12/13/2010,30.802
12/14/2010,29.996
12/15/2010,30.057
12/16/2010,33.32
12/17/2010,30.785
12/18/2010,29.877
12/19/2010,43.638
12/20/2010,77.865
12/21/2010,80.468
12/22/2010,78.923
12/23/2010,101.986
12/24/2010,72.184
12/25/2010,51.44
12/26/2010,43.112
12/27/2010,38.344
12/28/2010,33.643
12/29/2010,35.782
12/30/2010,42.479
12/31/2010,39.792
1/1/2011,22
1/2/2011,22
1/3/2011,22
1/4/2011,22
1/5/2011,22
1/6/2011,22
1/7/2011,22
1/8/2011,22
1/9/2011,22
1/10/2011,22
1/11/2011,22
1/12/2011,22
1/13/2011,22
1/14/2011,22
1/15/2011,22
1/16/2011,22
1/17/2011,22
1/18/2011,22
1/19/2011,22
1/20/2011,22
1/21/2011,22
1/22/2011,22
1/23/2011,22
1/24/2011,22
1/25/2011,22
1/26/2011,22
1/27/2011,22
1/28/2011,21
1/29/2011,21
1/30/2011,21
1/31/2011,21
2/1/2011,21.456
2/2/2011,21.219
2/3/2011,18.336
2/4/2011,17.057
2/5/2011,17.146
2/6/2011,18.58
2/7/2011,17.326
2/8/2011,19.656
2/9/2011,19.725
2/10/2011,18.366
2/11/2011,17.853
2/12/2011,17.516
2/13/2011,16.833
2/14/2011,18.027
2/15/2011,18.037
2/16/2011,19.775
2/17/2011,22.267
2/18/2011,22.252
2/19/2011,21.694
2/20/2011,26.984
2/21/2011,26.514
2/22/2011,372.287
2/23/2011,993.506
2/24/2011,1140.187
2/25/2011,1182.992
2/26/2011,1089.307
2/27/2011,1047.565
2/28/2011,1208.51
3/1/2011,1172.363
3/2/2011,1176.601
3/3/2011,1136.642
3/4/2011,1162.452
3/5/2011,1179.49
3/6/2011,1160.262
3/7/2011,1174.496
3/8/2011,1125.795
3/9/2011,1206.613
3/10/2011,1213.308
3/11/2011,1110.886
3/12/2011,1178.196
3/13/2011,1206.115
3/14/2011,1199.145
3/15/2011,1204.389
3/16/2011,1216.197
3/17/2011,1181.173
3/18/2011,1294.959
3/19/2011,1285.831
3/20/2011,1267.568
3/21/2011,1298.427
3/22/2011,1222.639
3/23/2011,1184.064
3/24/2011,1266.287
3/25/2011,1198.4
3/26/2011,1186.078
3/27/2011,1198.596
3/28/2011,1089.2
3/29/2011,1171.357
3/30/2011,1167.28
3/31/2011,1184.689
4/1/2011,891
4/2/2011,864
4/3/2011,859
4/4/2011,955
4/5/2011,862
4/6/2011,865
4/7/2011,955
4/8/2011,1018
4/9/2011,1018
4/10/2011,1060
4/11/2011,1081
4/12/2011,1060
4/13/2011,868
4/14/2011,870
4/15/2011,1060
4/16/2011,1081
4/17/2011,1018
4/18/2011,1018
4/19/2011,1039
4/20/2011,1102
4/21/2011,1102
4/22/2011,1102
4/23/2011,1102
4/24/2011,1125
4/25/2011,1125
4/26/2011,1018
4/27/2011,1102
4/28/2011,1124
4/29/2011,997
4/30/2011,1060
5/1/2011,1204.21
5/2/2011,1203.872
5/3/2011,1057.18
5/4/2011,1090.34
5/5/2011,1222.599
5/6/2011,1243.996
5/7/2011,1227.862
5/8/2011,1133.64
5/9/2011,1266.058
5/10/2011,1310.477
5/11/2011,1310.421
5/12/2011,1341.84
5/13/2011,1320.496
5/14/2011,1279.319
5/15/2011,1254.254
5/16/2011,1215.707
5/17/2011,1161.26
5/18/2011,1148.335
5/19/2011,1122.135
5/20/2011,1113.813
5/21/2011,1113.902
5/22/2011,1114.299
5/23/2011,1116.466
5/24/2011,1115.695
5/25/2011,1117.08
5/26/2011,1126.611
5/27/2011,1206.013
5/28/2011,1276.644
5/29/2011,1277.221
5/30/2011,1280.474
5/31/2011,1285.135
6/1/2011,1304.983
6/2/2011,1302.247
6/3/2011,1303.388
6/4/2011,1318.585
6/5/2011,1340.379
6/6/2011,1343.628
6/7/2011,1344.4
6/8/2011,1343.635
6/9/2011,1346.337
6/10/2011,1352.275
6/11/2011,1351.607
6/12/2011,1360.569
6/13/2011,1389.236
6/14/2011,1412.745
6/15/2011,1408.969
6/16/2011,1398.709
6/17/2011,1397.321
6/18/2011,1401.928
6/19/2011,1403.667
6/20/2011,1400.419
6/21/2011,1404.743
6/22/2011,1416.184
