"WS_Name","OrganizationIdentifier","Flow.cfs","load.TN.tonyr","load.TDN.tonyr","load.TP.tonyr","load.TDP.tonyr","load.TOC.tonyr","load.DOC.tonyr"
"Lake Mountain - Israel Canyon","UTAHDWQ_WQX",109.251666666667,2.59864805289692,3.99080009372175,0.912031107714294,0.163273486834115,28.3058472928251,37.2162517571267
"Dry Creek - Saratoga","UTAHDWQ_WQX",30.1116666666667,1.60809026798684,1.74291525850383,0.130181581264896,0.0319258585732147,7.05912420432384,8.27937980394394
"Lehi Spring Creek","UTAHDWQ_WQX",33.843,7.15813894361641,6.99146701725358,0.0666013735346319,0.0270186271142216,5.33675246027581,7.13216623822295
"Lehi Spring Creek","WFWQC_UT",NA,6.19190175884233,0,0.0241845957972498,0.0147927928000676,0,0
"American Fork River","UTAHDWQ_WQX",115.11,3.06085612637491,3.12474271450522,0.61000312904958,0.041993937091031,12.0086263516852,14.9395832311486
"American Fork River","WFWQC_UT",240.33419085,1.28243961199302,0,0.291616988581448,0.0061870996502184,0,0
"Timp SSD","UTAHDWQ_WQX",339.51489864759,222.274167700712,227.698804710661,28.1795244467871,26.8200514349817,144.908561235993,180.154598779493
"Timp SSD","WFWQC_UT",358.531903171667,187.982525120673,0,27.5374776320381,31.9234351309324,0,0
"Lindon Drain","UTAHDWQ_WQX",132.951666666667,29.2420933715174,30.3274168819523,0.967558870888704,1.17090943457126,25.2758497730319,40.3903112370463
"Lindon Drain","WFWQC_UT",216.165398748333,50.3444652778023,0,4.66499935071655,4.2023600759707,0,0
"Powell Slough Major","UTAHDWQ_WQX",224.720555392323,216.881365872511,209.483447252895,25.7933347995854,23.8324491702054,80.9170634319828,101.852618872436
"Powell Slough Major","WFWQC_UT",321.899926041667,124.295756930788,0.535498534288051,14.3501893866381,12.0445021891439,5.59085119273912,6.62106932099988
"Provo River","UTAHDWQ_WQX",2204.45,79.424672107392,101.539312976637,4.63541651089874,2.20655436836245,453.079234582226,661.301590482893
"Provo River","WFWQC_UT",1992.10271878452,82.0910059339038,0,1.85875855966679,1.25628638734838,0,0
"Mill Race","UTAHDWQ_WQX",273.719666666667,244.419866302748,246.585967903632,24.7328880828256,22.2343182915775,75.8239702867059,94.6645663328852
"Mill Race","WFWQC_UT",251.684924008333,142.966503936758,0,17.3347660465575,15.949135401512,0,0
"Hobble Creek","UTAHDWQ_WQX",769.98,112.307953523939,116.502093954674,15.1532594235252,13.4993695691082,171.146806267774,212.168509477116
"Hobble Creek","WFWQC_UT",556.238010684762,70.9158814121958,0,7.29426321529816,6.83390640879188,0,0
"Dry Creek - Spanish Fork","UTAHDWQ_WQX",269.985,106.487966114749,111.123678330515,14.9313361851524,9.72491440836511,84.2317597261809,109.463484847878
"Dry Creek - Spanish Fork","WFWQC_UT",NA,2.40822550691995,0,1.98829069815113,1.82455002606745,0,0
"Spanish Fork River","UTAHDWQ_WQX",1853.735,89.1085759136622,101.158432451314,39.4915051756626,3.63621031626466,547.170283391335,623.574055432802
"Spanish Fork River","WFWQC_UT",1791.90384334881,65.7242060682149,0,13.3297751794815,2.16041827972027,0,0
"4000 South Drain Spanish Fork","UTAHDWQ_WQX",30.0903333333333,8.97843452518195,8.98848638660045,0.609476110631885,0.464563196232192,19.3830357750313,21.1320366640773
"4000 South Drain Spanish Fork","WFWQC_UT",46.8708469966667,10.5837013912293,0,0.519362476467148,0.318989310137598,0,0
"Benjamin Slough","UTAHDWQ_WQX",210.514,60.1268109633589,59.4240692343746,9.4658711385494,6.74839333119514,112.711175243307,118.603058647053
"Benjamin Slough","WFWQC_UT",298.181435185,55.6460135025992,0,10.030178941978,8.07751548917952,0,0
"Currant Creek","UTAHDWQ_WQX",36.885,1.28714835745774,1.07237233739773,0.137752873401669,0.0618103266173568,14.5809869110641,16.5255546168899
