"WS_Name","Month","Flow.cfs","load.TN.kgd","load.TDN.kgd","load.TP.kgd","load.TDP.kgd","load.TOC.kgd","load.DOC.kgd","Flow.acftmo","load.TN.tonmo","load.TDN.tonmo","load.TP.tonmo","load.TDP.tonmo","load.TOC.tonmo","load.DOC.tonmo"
"Dry Creek - Saratoga",7,1.84375,4.800356815104,5.585583944448,0.1056032014464,0.05200921737216,9.14589598464,15.37761946752,113.368028852224,0.148811061268224,0.173153102277888,0.0032736992448384,0.00161228573853696,0.28352277552384,0.47670620349312
"Dry Creek - Saratoga",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dry Creek - Saratoga",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dry Creek - Saratoga",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dry Creek - Saratoga",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dry Creek - Saratoga",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lehi Spring Creek",1,5.1505604,47.7804702404872,45.901270020096,0.3969643843584,0.08412617723904,26.58933927936,28.718835130368,316.696341712446,1.4811945774551,1.42293937062298,0.0123058959151104,0.00260791149441024,0.82426951766016,0.890283889041408
"Lehi Spring Creek",2,3.69736681666667,31.4381443061929,26.753585780736,0.2450730691584,0.0722676450816,15.892847041536,17.18798045184,205.341835102468,0.880268040573402,0.749100401860608,0.0068620459364352,0.0020234940622848,0.444999717163008,0.48126345265152
"Lehi Spring Creek",3,2.13710518,27.73922789376,27.1814095872,0.16520229531648,0.04749284634624,15.93452030976,40.371121308672,131.405777196734,0.85991606470656,0.8426236972032,0.00512127115481088,0.00147227823673344,0.49397012960256,1.25150476056883
"Lehi Spring Creek",4,1.72212718571429,8.1555727647744,7.8260807453184,0.08081392716288,0.04924459155456,9.522576252288,10.4942198985984,102.473919025788,0.244667182943232,0.234782422359552,0.0024244178148864,0.0014773377466368,0.28567728756864,0.314826596957952
"Lehi Spring Creek",5,3.07009386666667,17.7430006852993,12.514702639104,0.3019966331904,0.12772408172544,21.55592613888,27.42280464384,188.773147148639,0.550033021244277,0.387955781812224,0.0093618956289024,0.00395944653348864,0.66823371030528,0.85010694395904
"Lehi Spring Creek",6,1.26156646,6.833518912512,7.073527578624,0.14664138048,0.0716600798208,9.972470172672,12.512928874752,75.0685897883145,0.20500556737536,0.21220582735872,0.0043992414144,0.002149802394624,0.29917410518016,0.37538786624256
"Lehi Spring Creek",7,0.33006998,1.48182698029142,1.43246762496,0.035964601344,0.026341420032,2.34340775424,4.02950329344,20.2952585848912,0.045936636389034,0.04440649637376,0.001114902641664,0.000816584020992,0.07264564038144,0.12491460209664
"Lehi Spring Creek",8,0.3625,1.20707722368,1.47008366208,0.03822768,0.025169104512,1.2737462976,3.0291613632,22.2893073675559,0.03741939393408,0.04557259352448,0.00118505808,0.000780242239872,0.0394861352256,0.0939040022592
"Lehi Spring Creek",9,0.95418468,3.7312539922944,3.7741790896128,0.09780047322624,0.030284640903168,5.2573029778944,7.5415322446848,56.7780617163951,0.111937619768832,0.113225372688384,0.0029340141967872,0.00090853922709504,0.157719089336832,0.226245967340544
"Lehi Spring Creek",10,4.1455253,34.129346494464,33.865606084608,0.2521273503744,0.14100080984064,26.984542132224,39.918424025088,254.899000308082,1.05800974132838,1.04983378862285,0.0078159478616064,0.00437102510505984,0.836520806098944,1.23747114477773
"Lehi Spring Creek",11,4.73089768571429,24.9143315427554,17.78412837888,0.075408145837056,0.030002388102144,11.1870787590144,13.8039071910912,281.508607718829,0.747429946282662,0.5335238513664,0.00226224437511168,0.00090007164306432,0.335612362770432,0.414117215732736
"Lehi Spring Creek",12,6.26839724285714,44.365581912955,44.3013916612608,0.230005776900096,0.136018122283008,22.2119008948224,26.5130551793664,385.429607856505,1.37533303930161,1.37334314149908,0.00713017908390298,0.00421656179077325,0.688568927739494,0.821904710560358
"American Fork River",1,1.3,6.61552939008,6.90177825792,0.0178110406656,0.0512067419136,2.646211756032,6.01122622464,79.9340678008903,0.20508141109248,0.21395512599552,0.0005521422606336,0.0015874089993216,0.082032564436992,0.18634801296384
