"zone","TP","NO23.d","Flow.m3s","Flow.acftyr","load.TP.tonyr","load.TN.tonyr"
"Goshen Bay",0.02556,14.76304,0.141,3604.90320070046,0.11365448256,65.64497935104
"North",0.0159047619047619,1.67990476190476,0.997,25489.9892985699,0.500067853714286,52.8185441417143
"Provo Bay",0.012,0.838,0.185,4729.83753283393,0.07000992,4.88902608
"South",0.0197333333333333,1.80746666666667,0.19,4857.67097966728,0.118238976,10.830051072
