"MonitoringLocationIdentifier","ActivityStartDate","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationName","MonitoringLocationTypeName","LatitudeMeasure","LongitudeMeasure","Month","Year","ResultStatusIdentifier","NH3.d","NH3.t","NO23.d","NO23.t","TDN","TN","DOC","TOC","TDP","TP","CO3.t","TKN.t","TKN.d","NO3.t","NO2.t","PO4","TKN.t2","Total Kjeldahl nitrogen_Total","orig.units","Flow.cfs","SiteType","OBJECTID_1","FID_UL_sub","OBJECTID","TARGET_FID","Type","wsa_sqkm","WS_Name","Monitored_","Shape_Leng","Shape_Area","geometry","Backwater","Flow.USGS.cfs","load.TN.kgd","load.TDN.kgd","load.TP.kgd","load.TDP.kgd","load.TOC.kgd","load.DOC.kgd"
"WFWQC_UT-4996536",2016-03-10,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","Mill Race at mouth 1.25 miles west of I-15","River/Stream",40.197811,-111.676083,3,2016,"Accepted",NA,117,NA,NA,NA,NA,NA,NA,1170,1320,NA,NA,NA,NA,8700,122,1270,1.83,NA,NA,"Not specified",NA,NA,NA,NA,NA,NA,"Mill Race",NA,NA,NA,c(NA, NA),"Yes",NA,NA,NA,NA,NA,NA,NA
"WFWQC_UT-4996540",2016-03-15,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)","River/Stream",40.203089424,-111.656212371,3,2016,"Accepted",NA,15,NA,NA,NA,NA,NA,NA,1310,1430,NA,NA,NA,NA,8000,NA,NA,NA,"m3.sec",18.363644,"Stream",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,NA,NA,64.246994831761,58.8556386221027,NA,NA
"WFWQC_UT-4996536",2016-04-11,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","Mill Race at mouth 1.25 miles west of I-15","River/Stream",40.197811,-111.676083,4,2016,"Accepted",NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6200,90,1290,NA,"m3.sec",50.500021,"Not specified",NA,NA,NA,NA,NA,NA,"Mill Race",NA,NA,NA,c(NA, NA),"Yes",NA,NA,NA,NA,NA,NA,NA
"WFWQC_UT-4996540",2016-04-11,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)","River/Stream",40.203089424,-111.656212371,4,2016,"Accepted",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6800,96,1510,NA,"m3.sec",18.363644,"Stream",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,NA,NA,NA,NA,NA,NA
"WFWQC_UT-4996540",2016-05-16,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)","River/Stream",40.203089424,-111.656212371,5,2016,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,1090,1310,NA,NA,NA,NA,6800,7,1140,1.15,"m3.sec",21.541967,"Stream",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,NA,NA,69.0421914605436,57.447319612208,NA,NA
"WFWQC_UT-4996540",2016-06-07,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)",NA,40.203089424,-111.656212371,6,2016,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m3.sec",18.363644,"Storm Sewer",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,NA,NA,NA,NA,NA,NA
"WFWQC_UT-4996540",2016-07-05,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)","River/Stream",40.203089424,-111.656212371,7,2016,"Accepted",NA,47,NA,NA,NA,NA,NA,NA,769,1040,NA,NA,NA,NA,5300,93,838,1.94,"m3.sec",12.360145,"Stream",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,NA,NA,31.4495778896732,23.2545436511141,NA,NA
"WFWQC_UT-4996536",2016-08-04,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","Mill Race at mouth 1.25 miles west of I-15","River/Stream",40.197811,-111.676083,8,2016,"Accepted",NA,13,NA,NA,NA,10900,NA,NA,862,1020,NA,NA,NA,NA,6600,132,885,NA,NA,NA,"Not specified",NA,NA,NA,NA,NA,NA,"Mill Race",NA,NA,NA,c(NA, NA),"Yes",NA,NA,NA,NA,NA,NA,NA
"WFWQC_UT-4996540",2016-08-30,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)",NA,40.203089424,-111.656212371,8,2016,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m3.sec",14.832174,"Storm Sewer",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,NA,NA,NA,NA,NA,NA
"WFWQC_UT-4996540",2016-08-31,"WFWQC_UT","Wasatch Front Water Quality Council Utah (Volunteer)","MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE)","River/Stream",40.203089424,-111.656212371,8,2016,"Accepted",NA,25,NA,NA,NA,14000,NA,NA,782,1020,NA,NA,NA,NA,6000,127,850,2.04,NA,NA,"Stream",51,51,51,51,"Tributary",45.1023151814,"Mill Race","YES",34757.4096923,0.00566357779487,c(-111.656212371, 40.203089424),"No",NA,NA,NA,NA,NA,NA,NA
