"WS_Name","Month","Flow.cfs","load.TN.kgd","load.TDN.kgd","load.TP.kgd","load.TDP.kgd","load.TOC.kgd","load.DOC.kgd","Flow.acftmo","load.TN.tonmo","load.TDN.tonmo","load.TP.tonmo","load.TDP.tonmo","load.TOC.tonmo","load.DOC.tonmo","WS_Type"
"Timp SSD",6,29.8617925016826,657.011360209436,566.394042874688,121.909450809572,138.179846651498,438.061246938577,493.009237694568,1776.90412889748,19.7103408062831,16.9918212862407,3.65728352428717,4.14539539954493,13.1418374081573,14.790277130837,"WWTP"
"Timp SSD",7,34.0160072769964,616.849704400039,624.061847030482,121.313416376623,117.251348396121,491.492236692521,683.098075047136,2091.56756307308,19.1223408364012,19.3459172579449,3.76071590767532,3.63479180027976,15.2362593374681,21.1760403264612,"WWTP"
"Timp SSD",8,31.9090996507925,645.976845020941,659.203653150265,132.188955439812,125.84870661551,510.193083106401,689.865432605239,1962.01856534755,20.0252821956492,20.4353132476582,4.09785761863417,3.90130990508082,15.8159855762984,21.3858284107624,"WWTP"
"Timp SSD",9,32.5991388853684,691.070150195313,663.752763453971,79.0825237709979,99.747408390157,490.549197704037,703.805186042639,1939.78792400522,20.7321045058594,19.9125829036191,2.37247571312994,2.99242225170471,14.7164759311211,21.1141555812792,"WWTP"
"Timp SSD",10,29.7025396866641,770.78532563222,820.436664621726,60.8578350207131,66.0698764726799,419.59257202345,790.210837627728,1826.34217013265,23.8943450945988,25.4335366032735,1.88659288564211,2.04816617065308,13.0073697327269,24.4965359664596,"WWTP"
"Timp SSD",11,29.7130112252613,685.795721782069,858.220683341456,53.4184786043742,49.5253557142873,400.464290309554,457.323595074986,1768.05100782778,20.5738716534621,25.7466205002437,1.60255435813123,1.48576067142862,12.0139287092866,13.7197078522496,"WWTP"
"Timp SSD",12,29.5519876755173,570.994091527515,595.896668268085,35.8320305791282,29.4836114109646,453.628030479607,510.578942042917,1817.08506654298,17.700816837353,18.4727967163106,1.11079294795297,0.913991953739902,14.0624689448678,15.8279472033304,"WWTP"
"Lindon Drain",1,16.6730560473054,142.941433792242,99.062414816256,6.47153498546109,3.95271475238214,120.016810570752,133.587208820736,1025.18860964104,4.4311844475595,3.07093485930394,0.294742082195147,0.122534157323846,3.72052112769331,4.14120347344282,"No WWTP"
"Lindon Drain",2,12.8138986419846,140.445681484011,115.58093174784,4.36915095331144,3.02603502511698,63.2194080768,104.85883206144,711.649558302225,3.9324790815523,3.23626608893952,0.203747680568873,0.0847289807032755,1.7701434261504,2.93604729772032,"No WWTP"
"Lindon Drain",3,15.969456944645,74.27057163264,76.25474113536,5.36411522850113,5.11581543047889,67.89235968,97.8628608,981.925887812807,2.30238772061184,2.36389697519616,0.236647792892563,0.158590278344845,2.10466315008,3.0337486848,"No WWTP"
"Lindon Drain",4,16.6921675082235,84.258822191616,85.290786058752,1.41631381110519,0.575566785945262,65.502711724032,66.065504726016,993.255222838329,2.52776466574848,2.55872358176256,0.236647240474017,0.0172670035783579,1.96508135172096,1.98196514178048,"No WWTP"
"Lindon Drain",5,19.4227255891195,123.384209357256,99.67210043904,8.24818350600778,8.46957210103635,67.391791147008,160.980858487296,1194.25958778366,3.82491049007494,3.08983511361024,0.393693607471511,0.262556735132127,2.08914552555725,4.99040661310618,"No WWTP"
"Lindon Drain",6,14.7513922108316,73.0620847223411,73.093342581504,2.59571531471534,2.03459968874789,61.255300460544,81.044149542912,877.770807795141,2.19186254167023,2.19280027744512,0.211364587076889,0.0610379906624367,1.83765901381632,2.43132448628736,"No WWTP"
"Lindon Drain",7,17.9076335964969,123.242981425453,76.674572808192,9.26716771065512,8.02305265063057,92.733378951168,129.409198636032,1101.09999850453,3.82053242418905,2.37691175705395,0.442122274770245,0.248714632169548,2.87473474748621,4.01168515771699,"No WWTP"
"Lindon Drain",8,13.6159556651197,85.5235093584437,46.366872968448,6.49830579873441,5.71338110575406,41.61985141248,64.729268914176,837.214402545841,2.65122879011176,1.43737306202189,0.376685994032312,0.177114814278376,1.29021539378688,2.00660733633946,"No WWTP"
"Lindon Drain",9,17.1669468925216,85.401982734336,90.563881655808,3.08027764557822,12.1860777873507,78.594234375168,128.954462542848,1021.50662295864,2.56205948203008,2.71691644967424,0.358356377859453,0.365582333620521,2.35782703125504,3.86863387628544,"No WWTP"
"Lindon Drain",10,14.2542770492245,73.810072754414,57.42144133632,6.93733847809808,6.30104463217244,56.77636197888,171.07406696448,876.463344696451,2.28811225538683,1.78006468142592,0.330692460525225,0.195332383597346,1.76006722134528,5.30329607589888,"No WWTP"
"Lindon Drain",11,13.8204198872189,88.019117995351,75.253930278912,7.43677408518806,5.69670135921902,38.420714492928,46.947505554432,822.373980373492,2.64057353986053,2.25761790836736,0.311377321379929,0.170901040776571,1.15262143478784,1.40842516663296,"No WWTP"
"Lindon Drain",12,13.2359221365668,94.1020835092773,94.01318051328,4.73973076829477,3.12751158279434,52.776951515136,71.962476060672,813.846998055106,2.9171645887876,2.91440859591168,0.255489396842499,0.0969528590666244,1.63608549696922,2.23083675788083,"No WWTP"
"Powell Slough Major",1,29.47364862,734.883323347265,695.1199002624,63.8265151273753,46.0282716402612,341.55545197824,0,1812.26817471592,22.7813830237652,21.0484480801536,1.97862196894863,1.4268764208481,10.3111386702566,10.9410684490829,"WWTP"
"Powell Slough Major",2,31.52896416,950.494371763967,695.1199002624,89.1902252956599,82.3993412699264,341.55545197824,0,1751.03409548397,26.6138424093911,21.0484480801536,2.49732630827848,2.30718155555794,10.3111386702566,10.9410684490829,"WWTP"
"Powell Slough Major",3,26.477196325,1006.00029500198,695.1199002624,90.9445760622803,81.7386625344103,341.55545197824,0,1628.02308170772,29.2295144782955,21.0484480801536,2.81928185793069,2.53389853856672,10.3111386702566,10.9410684490829,"WWTP"
"Powell Slough Major",4,36.6613728,1067.67280175616,1003.94842131763,117.158308662196,98.3977591205669,596.32000257024,652.70613639168,2181.50818292971,32.0301840526848,30.118452639529,3.51474925986589,2.95193277361701,17.8896000771072,19.5811840917504,"WWTP"
"Powell Slough Major",5,48.738374475,707.239020476117,630.5548778496,138.316549586613,123.040298075261,320.436524289024,364.00213403136,2996.81271522295,21.9244096347596,19.5472012133376,4.287813037185,3.81424924033308,9.93353225295975,11.2840661549722,"WWTP"
"Powell Slough Major",6,18.418326675,466.445752328903,740.498028049613,90.2571290865705,86.6619996489445,252.935860709376,325.193637952512,1095.96906194918,13.9933725698671,22.2149408414884,2.70771387259712,2.59985998946833,7.58807582128128,9.75580913857536,"WWTP"
"Powell Slough Major",7,18.773326675,634.779030373171,728.66733787607,219.989255383527,49.0208377171633,243.044372054016,439.424796192768,1154.32951329824,19.6781499415683,22.5886874741582,6.81966691688935,1.51964596923206,7.5343755336745,13.6221686819758,"WWTP"
"Powell Slough Major",8,25.2010549835208,654.837203693256,694.577294002479,179.596686132771,171.157943324848,242.543315612619,375.780794508286,1549.55602900517,20.299953314491,21.5318961140768,5.56749727011589,5.30589624307028,7.5188427839912,11.6492046297569,"WWTP"
"Powell Slough Major",9,25.5531294833333,1165.16072547072,945.41517633024,105.376020350493,101.533298223272,378.904690473984,433.909490015232,1520.52028633675,34.9548217641216,28.3624552899072,3.16128061051479,3.04599894669815,11.3671407142195,13.017284700457,"WWTP"
"Powell Slough Major",10,25.5606173375,1102.03856861184,985.823895326746,77.1723715922456,75.1946511708262,288.965076007219,382.098481634765,1571.66470714487,34.163195626967,30.5605407551291,2.39234351935961,2.33103418629561,8.9579173562238,11.8450529306777,"WWTP"
"Powell Slough Major",11,24.6935872,766.925557090895,747.853919340503,45.1280271572761,41.9460585059453,182.041117391462,226.379892665549,1469.37385123474,23.0077667127269,22.4356175802151,1.35384081471828,1.25838175517836,5.46123352174387,6.79139677996646,"WWTP"
