"MonitoringLocationIdentifier","ActivityStartDate","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationName","MonitoringLocationTypeName","LatitudeMeasure","LongitudeMeasure","Month","Year","ResultStatusIdentifier","NO23.d_mgL","PO4.d_mgL","CO3.d_mgL","NO3.d_mgL","Nmixed_d_mgL","DOC_mgL","TDN_mgL","NH3.d_mgL","TDP_mgL_2","TKN.d_mgL","NO2.d_mgL","DON_mgL","DO_mgL","TP_mgL","TDP_mgL","NH3.t_mgL","CO3.t_mgL","NO23.t_mgL"
"USGS-400325111552501","2011-08-08","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 3ddb- 1","Well",40.05828578,-111.924383,8,2011,"Preliminary",0.89,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400325111552501","2014-07-01","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 3ddb- 1","Well",40.05828578,-111.924383,7,2014,"Accepted",0.926,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400325111552501","2017-06-28","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 3ddb- 1","Well",40.05828578,-111.924383,6,2017,"Accepted",1.02,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400407111375101","2013-07-01","USGS-UT","USGS Utah Water Science Center","(D- 9- 3) 5bbd- 1","Well",40.0693997,-111.6324215,7,2013,"Preliminary",NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400407111375101","2016-06-27","USGS-UT","USGS Utah Water Science Center","(D- 9- 3) 5bbd- 1","Well",40.0693997,-111.6324215,6,2016,"Accepted",1.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400422111454201","2010-07-28","USGS-UT","USGS Utah Water Science Center","(D- 8- 2)31cdb- 1","Well",40.07273184,-111.762709,7,2010,"Accepted",0.03,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400422111454201","2013-07-02","USGS-UT","USGS Utah Water Science Center","(D- 8- 2)31cdb- 1","Well",40.07273184,-111.762709,7,2013,"Preliminary",NA,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400422111454201","2016-06-28","USGS-UT","USGS Utah Water Science Center","(D- 8- 2)31cdb- 1","Well",40.07273184,-111.762709,6,2016,"Accepted",NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400423111454001","2011-08-30","USGS-UT","USGS Utah Water Science Center","(D- 8- 2)31cdb- 2","Well",40.0730096,-111.7618757,8,2011,"Preliminary",0.02,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400423111454001","2014-07-15","USGS-UT","USGS Utah Water Science Center","(D- 8- 2)31cdb- 2","Well",40.0730096,-111.7618757,7,2014,"Accepted",NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400423111454001","2017-06-26","USGS-UT","USGS Utah Water Science Center","(D- 8- 2)31cdb- 2","Well",40.0730096,-111.7618757,6,2017,"Accepted",NA,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400941111352701","2001-07-17","USGS-UT","USGS Utah Water Science Center","(D- 7- 3)34cdb- 1","Well",40.16134486,-111.5915845,7,2001,"Accepted",1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401012111354801","2013-08-14","USGS-UT","USGS Utah Water Science Center","(D- 7- 3)34bcb- 1","Well",40.1695833,-111.5969722,8,2013,"Accepted",0.838,0.012,NA,0.838,0.92,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401012111354801","2013-08-14","USGS-UT","USGS Utah Water Science Center","(D- 7- 3)34bcb- 1","Well",40.1695833,-111.5969722,8,2013,"Preliminary",NA,NA,NA,NA,NA,NA,17.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401325111410901","2008-07-17","USGS-UT","USGS Utah Water Science Center","(D- 7- 2)11caa- 1","Well",40.22381545,-111.686897,7,2008,"Accepted",0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401325111410901","2011-08-09","USGS-UT","USGS Utah Water Science Center","(D- 7- 2)11caa- 1","Well",40.22381545,-111.686897,8,2011,"Preliminary",NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401325111410901","2017-06-26","USGS-UT","USGS Utah Water Science Center","(D- 7- 2)11caa- 1","Well",40.22381545,-111.686897,6,2017,"Accepted",NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401332111414401","2014-07-15","USGS-UT","USGS Utah Water Science Center","(D- 7- 2)10adc- 3","Well",40.22564856,-111.6976755,7,2014,"Accepted",NA,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401410111435301","2004-09-09","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbc- 1","Well",40.23617559,-111.7325392,9,2004,"Accepted",NA,0.031,NA,NA,0.33,NA,0.02,0.32,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401410111435301","2019-08-09","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbc- 1","Well",40.23617559,-111.7325392,8,2019,"Preliminary",NA,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401414111435301","2001-07-17","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbb- 2","Well",40.23755556,-111.7318889,7,2001,"Accepted",0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-401414111435301","2004-09-08","USGS-UT","USGS Utah Water Science Center","(D- 7- 2) 4cbb- 2","Well",40.23755556,-111.7318889,9,2004,"Accepted",NA,0.023,NA,NA,0.28,NA,0.02,0.26,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA
